start_station_name,Avg_ride_length,Avg_ride_length_Casual,Avg_ride_length_Member,Casual_riders,Member_riders,Electric_bike_riders,Classic_bike_riders,Total_riders
Public Rack - Throop St & 109th Pl,10.105072463768115,39.016666666666666,5.7683333333333335,3,20,23,0,23
Public Rack - Kenneth & Carmen,16.083333333333332,19.833333333333332,9.0520833333333339,15,8,23,0,23
Yates Blvd & 93rd St,25.695652173913047,28.869607843137256,16.702777777777776,17,6,3,20,23
Keeler Ave & Roosevelt Rd,17.371014492753623,18.557843137254903,14.008333333333333,17,6,23,0,23
Lowell Ave & Armitage Ave,20.670289855072461,24.483333333333334,18.636666666666667,8,15,15,8,23
W 103rd St & S Avers Ave,10.927536231884057,11.327777777777776,6.725,21,2,23,0,23
Throop St & 52nd St,35.967424242424244,47.053846153846152,19.953703703703702,13,9,3,19,22
Public Rack - Mango & Higgins,10.180303030303032,5.7833333333333332,10.874561403508773,3,19,22,0,22
Paulina Ave & 87th St,29.63787878787879,24.872549019607842,45.84,17,5,7,15,22
Narragansett Ave & Montrose Ave,19.97878787878788,18.037777777777777,24.138095238095236,15,7,10,12,22
Public Rack - King Dr & 115th St,10.040909090909091,12.835897435897436,6.0037037037037031,13,9,22,0,22
Public Rack - Sacramento Ave & Devon Ave,16.672727272727272,22.338888888888892,9.8733333333333331,12,10,22,0,22
Public Rack - Kostner & Bryn Mawr,16.131060606060608,18.02121212121212,14.24090909090909,11,11,22,0,22
Public Rack - Kimball & Ardmore,12.891666666666667,12.933333333333334,12.879411764705882,5,17,22,0,22
Public Rack - Langley Ave & 105th Pl,8.97777777777778,9.6166666666666671,2.9083333333333332,19,2,21,0,21
Kedzie Ave & 54th Pl,8.795238095238096,5.6884615384615378,13.84375,13,8,12,9,21
Columbus Ave & 83rd Pl,12.100793650793651,10.791666666666666,14.719047619047618,14,7,13,8,21
Public Rack - Western Ave & 100th St,7.6706349206349209,5.4354166666666668,9.046153846153846,8,13,21,0,21
Spaulding Ave & 63rd,30.836507936507939,37.589285714285715,17.330952380952379,14,7,2,19,21
Public Rack - Lynch & Elston,11.618253968253969,4.0516666666666667,18.496969696969696,10,11,21,0,21
Mulligan Ave & Wellington Ave,9.65952380952381,8.26060606060606,11.198333333333332,11,10,21,0,21
Public Rack - Kedzie Ave & Archer Ave,7.1238095238095243,5.5072916666666663,12.296666666666665,16,5,21,0,21
Long Ave & North Ave,17.477777777777778,20.957777777777778,8.7777777777777768,15,6,18,3,21
Public Rack - Kedzie Ave & Chicago Ave,12.224603174603175,13.1,11.95104166666667,5,16,21,0,21
Kenosha & Wellington,13.617460317460317,11.825,13.806140350877191,2,19,21,0,21
Public Rack - Normal Ave & 111th St,10.303968253968254,16.039743589743587,0.98333333333333328,13,8,21,0,21
